PH,StartCount,VEmax,R0,VEest,CILow,CIUp,SS
0.2,16,0.9,0.37,75.33783784,48.85869565,87.55210643,162.5940823
0.2,16,0.9,0.5,82.85714286,48.95833333,94.51357466,78.89738109
0.2,16,0.9,0.61,82.57452575,62.50980392,94.80743243,58.32835006
0.2,16,0.9,0.7,83.33333333,65.41666667,94.57692308,47.47621152
0.2,16,0.9,0.8,84.43637342,66.60805445,95.67836257,37.14393279
0.2,21,0.5,0.37,52.64808362,22.88654384,73.00495427,538.7507614
0.2,21,0.5,0.5,58.62068966,31.07331224,75.31740105,263.4251667
0.2,21,0.5,0.61,61.25703565,31.67410714,76.57594937,156.0458373
0.2,21,0.5,0.7,59.34065934,31.70138889,82.8320029,110.9909632
0.2,21,0.5,0.8,59.97513616,36.71555197,78.05364964,86.3236572
0.2,21,0.6,0.37,67.34949833,26.19614512,85.60483871,314.2798877
0.2,21,0.6,0.5,66.66666667,25.97058824,85.0888123,155.7209642
0.2,21,0.6,0.61,70.51975052,41.18055556,85.57291667,105.818039
0.2,21,0.6,0.7,70.68965517,41.55995935,86.12980769,80.77577616
0.2,21,0.6,0.8,70.62793427,46.30787037,86.95588235,62.53064663
0.2,21,0.7,0.37,73.60681115,38.00281955,89.28981349,239.9239687
0.2,21,0.7,0.5,75,45.45755968,93.61904762,120.8387233
0.2,21,0.7,0.61,75.27777778,41,92.9864532,81.19567756
0.2,21,0.7,0.7,78.34612106,55.21875,92.28046595,62.85325888
0.2,21,0.7,0.8,77.75856105,53.65831843,93.45634096,49.4852813
0.2,21,0.8,0.37,82.69230769,51.82692308,95.74728261,174.808426
0.2,21,0.8,0.5,81.69856459,57.48161765,97.18402226,98.99461063
0.2,21,0.8,0.61,85.23965142,59.25925926,96.71842105,65.76803633
0.2,21,0.8,0.7,86.50151668,68.125,96.95833333,52.90136414
0.2,21,0.8,0.8,84.57880435,60,97.33967583,42.09634949
0.2,21,0.9,0.37,88.5620915,55.77922078,100,155.0850093
0.2,21,0.9,0.5,91.30434783,68.25,100,82.21832812
0.2,21,0.9,0.61,91.66666667,75,100,55.44929015
0.2,21,0.9,0.7,91.98717949,70.02232143,100,42.95291039
0.2,21,0.9,0.8,92.58241758,76.07954545,100,36.48451121
0.2,26,0.5,0.37,57.89473684,27.18438538,77.83653846,649.6278726
0.2,26,0.5,0.5,62.18202374,22.01417004,78.65677321,289.5447998
0.2,26,0.5,0.61,62.95098039,37.36897275,77.96054738,172.6027104
0.2,26,0.5,0.7,62.98241329,23.91227181,82.97058824,119.5073212
0.2,26,0.5,0.8,63.32962551,41.17716802,81.73649059,102.8266968
0.2,26,0.6,0.37,71.2406015,45,86.83157568,412.498513
0.2,26,0.6,0.5,72.38562092,37.01612903,89.56896552,190.3858052
0.2,26,0.6,0.61,73.57679914,38.6875,87.83368644,125.7603914
0.2,26,0.6,0.7,75.46002007,36.73863636,90.55514158,91.53167329
0.2,26,0.6,0.8,73.33846831,46.39857881,92.225,73.22730686
0.2,26,0.7,0.37,81.98051948,45.46875,95.86309524,285.9489538
0.2,26,0.7,0.5,82.35294118,41.65217391,93.69047619,154.7258553
0.2,26,0.7,0.61,81.96594427,48.85869565,95.47643443,94.69803099
0.2,26,0.7,0.7,82.13675214,56.74208145,97.7791502,69.01486828
0.2,26,0.7,0.8,80.24390244,47.98076923,94.81951872,54.97754897
0.2,26,0.8,0.37,87.5,53.25854701,100,223.4518222
0.2,26,0.8,0.5,87.75,63.16666667,100,111.641998
0.2,26,0.8,0.61,87.79761905,65.6372549,100,73.54157306
0.2,26,0.8,0.7,89.56442831,65.9057971,100,56.67265494
0.2,26,0.8,0.8,91.1878882,73.79290618,100,45.46575143
0.2,26,0.9,0.37,93.33333333,77.375,100,192.7613232
